Spindle_Speed,Feed_Rate,Cutting_Force,Tool_Wear_Index,Spindle_Vibration,Axis_Feed_Error,Coolant_Pressure,Motor_Temperature,CNC_Failure
6745.1,664.3,926.6,201.3,2.69,4.09,17.55,56.8,0
5792.6,738.9,912.3,212.8,2.03,6.42,18.44,53.4,0
6971.5,680.5,644.0,109.6,1.52,5.33,22.47,66.3,0
8284.5,822.1,977.5,96.2,1.74,5.34,24.84,44.0,0
5648.8,1039.4,522.2,150.9,1.02,3.49,12.96,50.6,0
5648.8,645.8,706.1,23.3,1.1,4.39,28.3,58.8,0
8368.8,1000.2,410.2,169.0,1.12,3.87,21.81,31.6,0
7151.2,643.7,1192.9,189.9,1.52,2.3,18.64,57.9,0
5295.8,630.5,799.1,101.4,2.99,6.25,21.88,30.8,0
6813.8,963.7,1326.7,50.2,3.88,4.2,17.81,58.1,0
5304.9,984.4,1026.6,16.6,1.16,2.03,23.0,48.4,0
5301.4,970.3,948.6,156.6,0.72,5.02,22.76,43.8,0
6362.9,536.8,721.0,71.9,2.75,3.47,20.51,35.6,0
3130.1,706.8,619.8,116.7,0.81,2.88,16.37,33.3,0
3412.6,964.6,965.1,98.9,1.17,0.2,20.1,42.1,0
5156.6,808.3,834.3,50.2,1.27,2.69,20.77,40.8,0
4480.8,585.3,555.4,126.9,1.27,2.56,23.59,38.5,0
6471.4,891.7,516.3,115.7,2.14,4.76,17.77,41.0,0
4638.0,657.0,639.1,153.6,3.21,3.04,18.6,52.2,0
3881.5,1158.9,1250.6,67.9,5.04,10.71,25.13,59.7,0
8198.5,1109.0,1336.9,59.4,1.83,0.2,26.81,41.4,0
5661.3,920.8,895.1,197.3,0.66,0.88,20.19,45.7,0
6101.3,1072.2,882.8,171.5,2.74,2.65,24.94,35.4,0
3862.9,813.0,776.0,187.6,0.71,4.91,19.99,42.0,0
5183.4,953.1,644.4,38.4,0.83,3.18,15.33,39.0,0
6166.4,1095.5,1152.5,61.5,0.3,2.47,17.49,52.1,0
4273.5,849.1,1262.2,142.4,2.01,1.01,17.21,36.9,0
6563.5,749.0,653.4,207.2,2.62,5.07,18.5,48.9,0
5099.0,459.1,831.8,215.2,1.11,10.84,18.59,36.7,0
5562.5,783.4,751.0,201.3,1.68,1.35,28.49,61.2,0
5097.4,964.7,757.5,20.0,3.25,5.44,17.19,52.0,0
8778.4,989.1,1110.9,198.8,2.73,7.92,15.96,45.9,0
5979.8,900.9,561.4,216.8,0.84,4.35,24.83,54.5,0
4413.4,691.7,952.6,23.1,1.77,4.85,13.63,52.8,0
7233.8,404.6,1010.2,105.7,2.36,3.8,21.09,50.6,0
4168.7,701.0,818.7,133.4,0.9,8.47,19.91,35.3,0
6313.3,739.1,1046.5,63.5,0.4,6.0,18.56,55.5,0
3060.5,737.4,882.5,128.8,1.41,6.85,16.63,55.2,0
4007.7,923.7,1117.8,213.8,2.55,3.67,15.73,41.0,0
6295.3,1197.1,515.1,209.4,1.8,5.7,22.45,50.7,0
7107.7,824.7,773.3,226.2,1.04,3.81,24.45,26.5,0
6257.1,756.7,834.2,121.3,2.62,5.93,17.39,29.0,0
5826.5,748.2,262.1,104.4,6.57,2.98,19.29,44.6,0
5548.3,824.9,611.1,163.1,4.42,6.92,15.47,54.0,0
3782.2,634.3,671.0,105.9,2.31,5.36,20.34,48.7,0
4920.2,824.0,1058.6,19.6,2.2,2.85,17.68,44.8,0
5309.0,890.2,694.5,175.6,1.42,6.19,20.83,46.6,0
7585.7,841.9,670.0,74.6,1.84,3.21,19.56,46.3,0
6515.4,891.5,1029.8,21.3,0.3,0.91,14.97,38.7,0
3355.4,886.7,494.1,14.7,2.38,3.3,20.43,51.7,0
6486.1,445.6,394.3,224.2,3.1,3.32,19.75,50.7,0
5422.4,927.4,770.4,68.0,0.69,1.11,17.56,61.4,0
4984.6,665.8,531.5,113.0,0.83,5.25,23.38,51.3,0
6917.5,580.8,539.9,228.6,0.3,5.05,19.58,66.0,0
7546.5,579.1,976.2,117.5,1.39,3.96,21.58,40.8,0
7396.9,886.7,1042.7,28.1,1.66,6.04,27.08,55.8,0
4741.2,755.5,1023.6,136.9,1.85,3.09,27.56,61.4,0
5536.2,463.6,1093.9,30.3,1.48,0.28,15.01,33.2,0
6496.9,895.6,1123.0,31.9,0.3,2.38,22.91,34.6,0
7463.3,512.1,381.7,205.8,0.3,1.92,19.27,47.0,0
