Belt_Speed,Belt_Tension,Motor_Current,Roller_Bearing_Temperature,Idler_Vibration,Belt_Slip_Percentage,Load_Weight,Ambient_Temperature,Conveyor_Failure
2.4,18.95,48.5,28.2,1.13,1.31,390.5,31.1,0
2.14,20.63,47.8,37.5,3.35,0.29,591.6,21.8,0
2.46,19.31,35.6,42.1,2.77,2.25,477.4,23.8,0
2.81,22.5,50.8,49.5,1.59,0.16,298.2,34.5,0
2.11,27.39,30.1,58.2,0.3,3.06,492.7,24.5,0
2.11,18.53,38.5,54.9,3.4,0.29,542.4,23.5,0
2.83,26.5,25.0,36.2,0.65,3.71,715.0,29.4,0
2.51,18.48,60.6,44.3,1.17,1.92,510.7,37.4,0
2.01,18.19,42.7,48.8,0.66,0.23,377.7,44.8,0
2.42,25.68,66.7,45.4,1.65,0.21,217.0,36.0,0
2.01,26.15,53.0,45.3,2.59,0.11,315.6,35.9,0
2.01,25.83,49.5,30.8,5.14,0.34,354.5,27.8,0
2.3,16.08,39.1,36.5,1.02,1.29,749.9,45.9,0
1.43,19.9,34.5,44.0,0.73,0.88,471.4,29.4,0
1.51,25.7,50.2,20.0,1.91,1.14,486.6,27.8,0
1.98,22.19,44.3,54.4,3.46,0.04,665.2,30.7,0
1.79,17.17,31.6,34.3,1.49,0.1,590.4,29.9,0
2.33,24.06,29.8,54.9,1.75,1.41,460.7,18.8,0
1.84,18.78,35.4,54.0,0.39,2.26,672.0,23.1,0
1.64,30.08,63.2,42.6,1.35,0.53,397.4,30.7,0
2.79,28.95,67.1,58.0,0.56,0.22,542.5,22.5,0
2.11,24.72,47.0,55.4,1.58,0.44,311.7,32.5,0
2.23,28.12,46.5,44.9,2.33,0.64,539.0,28.3,0
1.63,22.29,41.6,43.8,7.57,1.19,652.7,34.6,0
1.98,25.44,35.7,59.0,2.13,0.63,630.7,27.1,0
2.24,28.65,58.8,50.3,1.98,2.73,635.3,31.4,0
1.74,23.1,63.7,58.4,1.8,0.62,933.2,15.3,0
2.35,20.85,36.1,24.1,1.02,0.24,459.9,16.7,0
1.96,14.33,44.2,49.0,6.4,0.34,364.4,22.4,0
2.08,21.63,40.5,32.2,3.07,0.75,568.4,30.2,0
1.96,25.71,40.8,47.7,3.17,1.83,368.0,22.5,0
2.94,26.26,56.9,55.1,3.44,2.44,330.1,33.1,0
2.19,24.27,31.9,65.4,0.97,0.25,462.1,30.7,0
1.78,19.56,49.7,38.6,2.27,0.0,797.0,24.8,0
2.53,13.1,52.3,42.7,1.67,2.44,603.4,29.6,0
1.71,19.77,43.6,47.0,0.56,0.31,557.1,24.9,0
2.28,20.63,53.9,38.3,0.3,2.07,249.1,30.2,0
1.42,20.59,46.5,57.8,2.48,0.96,406.6,24.4,0
1.67,24.78,57.2,47.3,2.29,0.62,714.9,30.8,0
2.28,30.94,29.8,49.2,1.68,0.19,459.5,37.5,0
2.5,22.56,41.5,54.2,4.4,1.34,829.2,19.3,0
2.27,21.02,44.3,47.3,1.39,2.05,567.2,23.1,0
2.15,20.83,18.3,39.8,3.68,0.74,477.4,23.4,0
2.08,22.56,34.1,47.4,0.3,0.71,452.9,30.2,0
1.61,18.27,36.9,39.4,1.55,1.69,490.2,33.9,0
1.91,22.54,54.5,49.1,2.53,0.83,282.2,15.8,0
2.02,24.03,37.9,58.0,2.43,1.85,646.0,26.7,0
2.62,22.94,36.8,36.3,0.3,0.07,566.3,28.2,0
2.34,24.06,53.2,32.7,1.88,2.34,461.6,34.2,0
1.49,23.95,28.8,48.5,2.07,0.36,483.3,21.7,0
2.33,14.03,24.3,40.3,1.71,0.22,621.5,33.1,0
2.05,24.87,41.4,48.3,1.66,0.04,804.5,30.1,0
1.93,18.98,30.5,51.2,1.39,2.16,729.7,40.4,0
2.44,17.07,30.9,26.6,0.52,0.07,527.9,43.4,0
2.61,17.03,50.7,54.9,0.99,3.71,376.6,33.6,0
2.57,23.95,53.8,36.3,3.74,1.0,270.0,26.2,0
1.86,21.0,52.9,47.8,1.82,1.44,518.4,31.4,0
2.08,14.43,56.1,41.4,1.22,1.55,382.5,32.1,0
2.33,24.15,57.4,42.5,1.91,0.42,523.3,31.7,0
2.59,15.52,23.7,64.9,2.53,1.97,543.6,30.9,0
