Flow_Rate,Suction_Pressure,Discharge_Pressure,Vibration_RMS,Bearing_Temperature,Motor_Power,Fluid_Temperature,Cavitation_Index,Pump_Failure
272.35,2.09,12.87,0.4,63.84,69.27,42.87,3.17,0
243.78,2.32,12.71,0.77,51.57,56.58,25.18,2.87,0
279.15,2.14,9.66,4.04,62.96,62.25,29.24,1.01,0
318.54,2.57,13.45,3.28,48.92,66.3,23.52,1.42,0
239.46,3.22,8.27,2.12,43.85,46.37,52.05,2.39,0
239.46,2.04,10.36,1.62,52.1,82.79,46.18,1.77,0
321.06,3.1,7.0,0.69,61.01,63.36,51.04,3.99,0
284.53,2.03,15.9,1.44,56.47,62.12,56.2,1.89,0
228.87,1.99,11.42,0.54,45.24,47.0,44.39,2.78,0
274.42,2.99,17.42,3.26,76.61,77.55,39.4,1.66,0
229.15,3.05,14.01,3.98,53.34,59.31,41.95,1.46,0
229.04,3.01,13.12,3.39,27.86,52.12,33.55,1.62,0
260.89,1.71,10.53,4.23,66.19,43.71,31.96,0.78,0
163.9,2.22,9.38,2.38,54.87,57.58,35.8,1.53,0
172.38,2.99,13.31,4.09,52.95,42.45,37.52,1.4,0
224.7,2.52,11.82,0.4,52.72,65.19,23.4,3.83,0
204.42,1.86,8.65,1.96,52.78,71.62,27.64,1.45,0
264.14,2.77,8.21,3.32,75.03,54.1,27.3,1.52,0
209.14,2.07,9.6,1.29,60.57,63.54,26.88,2.04,0
186.45,3.58,16.55,1.86,58.12,78.3,46.37,2.88,0
315.95,3.43,17.53,1.89,51.85,57.41,36.66,2.73,0
239.84,2.86,12.51,2.19,75.74,58.42,38.07,2.08,0
253.04,3.32,12.37,0.98,65.12,60.08,43.83,3.71,0
185.89,2.54,11.16,1.9,66.87,53.39,48.23,2.01,0
225.5,2.96,9.66,3.98,58.34,54.73,44.56,1.42,0
254.99,3.39,15.44,0.68,67.0,48.47,56.38,4.0,0
198.21,2.65,16.68,1.03,59.72,66.44,40.4,2.9,0
266.91,2.35,9.77,2.05,50.54,58.93,41.97,1.78,0
222.97,1.48,11.79,3.27,59.43,68.98,33.95,0.82,0
236.87,2.45,10.88,0.68,80.17,75.33,21.06,3.17,0
222.92,2.99,10.95,1.26,57.45,44.24,40.79,2.98,0
333.35,3.07,14.96,5.94,70.24,47.45,48.64,1.07,0
249.39,2.8,8.72,2.24,69.3,70.38,32.58,2.01,0
202.4,2.18,13.17,3.12,61.75,56.18,34.89,1.24,0
287.01,1.31,13.82,4.25,74.88,61.21,49.6,0.6,0
195.06,2.2,11.64,2.25,28.92,61.25,39.51,1.57,0
259.4,2.32,14.23,0.7,32.96,45.78,30.77,2.97,0
161.81,2.31,12.37,1.74,75.73,67.59,30.42,1.93,0
190.23,2.87,15.04,3.26,47.23,63.73,46.56,1.59,0
258.86,3.69,8.19,3.51,56.34,44.87,38.69,1.94,0
283.23,2.57,11.13,1.32,76.01,57.52,38.55,2.5,0
257.71,2.37,11.82,1.21,57.4,58.36,26.2,2.41,0
244.8,2.34,5.32,1.21,75.28,71.21,44.77,2.38,0
236.45,2.57,9.29,3.53,50.34,77.6,50.32,1.35,0
183.47,2.0,9.97,1.41,62.39,59.87,36.38,1.88,0
217.61,2.57,14.37,0.4,55.7,34.79,44.09,3.9,0
229.27,2.77,10.23,1.61,72.89,70.89,35.93,2.42,0
297.57,2.63,9.95,3.22,51.86,92.97,45.94,1.47,0
265.46,2.77,14.04,4.07,43.43,70.77,44.94,1.3,0
170.66,2.76,7.96,1.29,49.39,55.91,36.16,2.72,0
264.58,1.44,6.82,2.03,49.92,66.02,18.73,1.1,0
232.67,2.88,11.1,1.95,47.23,72.0,32.01,2.25,0
219.54,2.1,8.38,1.75,46.74,61.7,43.45,1.75,0
277.53,1.84,8.48,1.74,68.46,79.72,48.84,1.54,0
296.39,1.84,13.43,2.92,71.89,43.01,33.95,1.1,0
291.91,2.76,14.19,4.15,59.7,53.94,53.45,1.28,0
212.24,2.37,13.97,1.79,47.23,66.89,54.94,1.95,0
236.09,1.49,14.77,0.86,47.99,70.47,46.98,1.76,0
264.91,2.79,15.1,2.74,30.13,51.79,28.64,1.75,0
293.9,1.64,6.68,6.95,59.56,53.21,47.11,0.5,0
228.44,2.58,13.13,2.67,46.81,50.0,34.62,1.65,0
241.65,2.64,10.68,2.35,72.65,48.83,34.07,1.84,0
200.21,3.03,10.13,0.93,38.46,67.79,44.53,3.47,0
196.17,3.57,13.4,0.4,47.89,59.44,44.29,4.0,0
286.56,1.68,7.67,1.89,53.85,79.46,44.56,1.34,0
311.03,2.47,7.62,2.69,60.58,43.6,46.57,1.57,0
246.76,2.33,13.58,5.12,76.64,57.64,39.43,0.92,0
295.16,2.76,13.22,2.28,38.55,71.04,25.51,1.96,0
266.27,2.63,12.34,0.45,51.38,65.16,60.83,3.87,0
220.97,2.29,9.8,0.95,37.86,43.53,36.09,2.6,0
266.26,2.24,13.86,2.41,64.48,77.28,32.87,1.53,0
319.21,1.83,13.7,2.4,47.24,61.44,27.85,1.25,0
248.39,3.09,12.21,3.47,53.76,88.76,41.52,1.64,0
320.41,2.78,9.06,1.07,52.93,58.02,40.36,2.99,0
132.11,3.05,10.94,5.23,56.4,77.37,38.8,1.18,0
286.99,2.31,14.09,2.87,53.12,54.62,54.98,1.4,0
253.92,2.11,15.32,1.04,43.34,56.46,46.59,2.3,0
236.54,1.85,11.18,1.69,56.02,67.41,29.82,1.57,0
254.13,2.72,11.38,0.71,45.47,34.47,60.74,3.47,0
160.56,1.88,11.6,3.44,64.77,29.71,24.85,1.0,0
240.11,3.61,12.69,4.51,55.69,49.84,38.84,1.57,0
266.07,1.72,10.55,6.41,42.52,40.51,32.7,0.56,0
316.51,2.66,4.76,1.98,83.88,26.17,43.7,2.06,0
226.68,3.44,14.98,2.48,74.91,71.14,46.36,2.3,0
213.62,2.86,16.49,2.33,84.32,48.13,35.87,2.0,0
227.42,2.61,10.47,4.33,50.89,54.84,50.5,1.17,0
291.19,1.92,9.33,1.15,44.98,62.09,41.99,2.0,0
264.79,1.67,11.66,1.69,64.68,67.57,54.61,1.42,0
226.16,2.96,11.53,2.56,68.3,64.24,49.29,1.94,0
273.1,3.4,14.49,4.16,57.36,63.03,35.29,1.57,0
254.37,2.24,12.14,4.91,29.76,67.04,50.55,0.91,0
293.59,1.82,10.02,3.86,43.23,52.5,33.55,0.89,0
218.41,1.03,8.7,1.81,60.07,49.31,46.27,0.84,0
235.26,1.91,14.16,3.11,47.08,25.24,45.26,1.1,0
232.36,2.43,13.5,2.11,38.62,69.57,34.83,1.81,0
184.14,3.46,14.65,1.4,51.91,49.72,20.06,3.26,0
263.33,2.9,9.58,2.31,25.0,89.75,54.78,2.04,0
261.75,2.68,16.6,9.81,47.76,71.07,44.19,0.61,1
250.23,2.26,7.64,1.13,49.89,74.25,40.21,2.37,0
239.44,2.15,13.77,1.25,58.72,70.59,40.19,2.15,0
186.31,3.34,7.23,1.99,61.57,67.96,49.75,2.58,0
231.07,2.62,10.02,4.05,59.53,67.14,61.85,1.24,0
234.58,1.24,15.9,0.44,65.77,68.54,49.03,1.83,0
213.9,2.1,14.08,3.58,52.98,62.62,43.68,1.08,0
242.74,1.99,10.63,1.36,37.53,50.75,42.86,1.9,0
268.18,2.17,10.7,3.39,55.53,42.32,43.64,1.17,0
334.88,2.84,12.25,2.59,44.49,66.34,29.96,1.85,0
257.86,2.44,13.29,1.66,38.72,79.37,45.85,2.1,0
261.59,2.45,15.13,0.64,61.95,58.12,26.89,3.25,0
246.65,3.29,10.86,4.15,38.05,62.27,44.42,1.52,0
163.66,2.08,7.97,1.94,63.16,40.24,35.28,1.63,0
248.81,3.62,12.39,1.65,39.49,53.19,48.66,3.12,0
252.71,2.1,10.86,1.19,51.51,41.57,43.81,2.15,0
360.85,2.55,8.75,2.76,48.23,42.61,36.49,1.59,0
241.34,2.33,12.74,4.08,68.64,61.48,29.89,1.09,0
263.57,2.57,11.47,2.12,62.13,59.14,54.76,1.91,0
248.44,2.77,12.77,1.18,45.11,71.81,39.14,2.84,0
197.41,2.76,9.76,4.76,53.11,71.49,57.4,1.15,0
301.43,2.05,13.22,0.88,70.95,46.89,27.69,2.41,0
283.84,1.83,8.71,1.86,72.92,30.97,37.47,1.47,0
285.6,4.0,9.93,4.35,38.57,45.77,17.49,1.79,0
209.08,2.21,11.39,1.74,70.79,49.34,47.56,1.85,0
313.13,2.92,16.35,0.6,69.88,68.28,48.38,3.95,0
186.92,1.54,13.96,2.46,57.14,69.19,33.95,1.03,0
276.41,2.33,14.69,4.85,53.91,59.3,33.46,0.96,0
348.57,2.42,15.54,1.38,48.39,71.1,36.12,2.31,0
205.43,2.78,21.01,1.52,39.96,98.43,37.6,2.51,1
224.52,0.87,12.1,4.12,59.07,58.22,34.41,0.4,0
254.48,2.6,15.55,0.4,52.96,56.5,50.81,3.94,0
227.34,1.81,14.53,4.94,60.22,47.39,35.31,0.73,0
180.22,2.69,14.49,1.29,60.51,64.78,21.04,2.65,0
253.09,1.88,16.44,0.46,85.21,77.06,37.45,2.74,1
202.2,1.99,10.95,1.79,69.36,52.52,34.88,1.63,0
271.31,2.34,10.75,3.24,61.56,54.13,26.92,1.3,0
208.63,1.87,12.8,1.66,29.36,52.18,41.89,1.61,0
319.75,2.21,11.54,0.78,59.71,42.74,20.74,2.73,0
214.75,1.78,12.8,4.08,73.99,62.01,43.81,0.84,0
235.51,1.4,15.91,1.9,49.88,62.55,39.67,1.11,0
286.61,3.11,10.8,0.44,81.29,59.38,34.37,4.0,0
194.61,1.72,11.24,2.76,61.53,87.59,28.54,1.07,0
260.24,2.39,12.44,0.6,58.53,66.0,25.37,3.23,0
308.82,2.95,11.43,6.49,43.11,43.25,48.82,0.95,0
